bps,max_bps,collision_rate,wasted,frame_on_air,collisions,sent,processed,processed_ideal,data_rate,frame_rate,station_count,backoff_min,current
9000.0,11000.0,0.24435318275154,270130,0,119,487,900000,1100000.0,11000000.0,300.0,20,4,100000.0
6840.0,11000.0,0.2257142857142857,179330,1,79,350,684000,1100000.0,11000000.0,300.0,10,4,100000.0
9720.0,11000.0,0.1616915422885572,147550,1,65,402,972000,1100000.0,11000000.0,300.0,10,4,100000.0
7080.0,11000.0,0.0206611570247933,11350,1,5,242,708000,1100000.0,11000000.0,300.0,5,128,100000.0
6480.0,11000.0,0.043859649122807,11350,1,5,114,324000,550000.0,11000000.0,300.0,5,128,100000.0
6480.0,11000.0,0.0363636363636363,9080,0,4,110,324000,550000.0,11000000.0,300.0,5,128,50000.0
7080.0,11000.0,0.0802919708029197,49940,1,22,274,708000,1100000.0,11000000.0,300.0,5,8,100000.0
8040.0,11000.0,0.09,61290,0,27,300,804000,1100000.0,11000000.0,400.0,5,4,100000.0
10200.0,11000.0,0.106145251396648,86260,0,38,358,1020000,1100000.0,11000000.0,500.0,5,4,100000.0
9240.0,11000.0,0.0709876543209876,52210,0,23,324,924000,1100000.0,11000000.0,300.0,5,4,100000.0
7920.0,11000.0,0.0878378378378378,29510,0,13,148,396000,550000.0,11000000.0,300.0,5,4,50000.0
7800.0,11000.0,0.3848439821693908,587930,1,259,673,780000,1100000.0,11000000.0,300.0,50,4,100000.0
7320.0,11000.0,0.0365853658536585,20430,0,9,246,732000,1100000.0,11000000.0,200.0,5,4,100000.0
6960.0,11000.0,0.0,0,0,0,114,348000,550000.0,11000000.0,300.0,3,4,50000.0
9480.0,11000.0,0.0341614906832298,24970,1,11,322,948000,1100000.0,11000000.0,300.0,5,16,100000.0
8280.0,11000.0,0.2505910165484633,240620,0,106,423,828000,1100000.0,11000000.0,300.0,15,4,100000.0
7440.0,11000.0,0.263681592039801,120310,1,53,201,372000,550000.0,11000000.0,300.0,15,4,100000.0
7080.0,11000.0,0.0304347826086956,15890,0,7,230,708000,1100000.0,11000000.0,100.0,5,4,100000.0
8880.0,11000.0,0.0211267605633802,6810,0,3,142,444000,550000.0,11000000.0,100.0,5,4,50000.0
9480.0,11000.0,0.0290322580645161,20430,0,9,310,948000,1100000.0,11000000.0,300.0,5,32,100000.0
8280.0,11000.0,0.3266129032258064,367740,1,162,496,828000,1100000.0,11000000.0,300.0,30,4,100000.0
9720.0,11000.0,0.1016483516483516,83990,0,37,364,972000,1100000.0,11000000.0,300.0,5,2,100000.0
